Estee_ID,DataFeed_Ticker,Underlying_Ticker,ISIN,Exchange_Code,Security_Type,Option_Type,Strike_Price,Tick_Size,Lot_Size,Expiry_Date,Status,Last_update_time,Token,TOKEN2,Expiry_Date2,Quote_Size,AsOfDate,SERIES,ID,Instrument_Type,Source,TradingCurrency,SettlementCurrency,TickSizeSlabId,UnderlyingEstee_Id,SettlementDate,TradingStartDate,LastTradingDate
IN0000000002IS062015123110800,NIFTY15DEC10800CE,NIFTY 50,IN0000000002,IS        ,6,NULL,10800,0.05,75,00:00.0,1,21:19.3,38351,38351,12/31/2015,1,00:00.0,,3014976,0,NSE_SecurityMaster_Upload,1,1,NULL,IN0000000002IS04,NULL,NULL,NULL
IN0000000002IS062015123110900,NIFTY15DEC10900CE,NIFTY 50,IN0000000002,IS        ,6,NULL,10900,0.05,75,00:00.0,1,21:19.3,42517,42517,12/31/2015,1,00:00.0,,3014977,0,NSE_SecurityMaster_Upload,1,1,NULL,IN0000000002IS04,NULL,NULL,NULL
IN0000000002IS062015123111000,NIFTY15DEC11000CE,NIFTY 50,IN0000000002,IS        ,6,NULL,11000,0.05,75,00:00.0,1,21:19.3,35107,35107,12/31/2015,1,00:00.0,,3014978,0,NSE_SecurityMaster_Upload,1,1,NULL,IN0000000002IS04,NULL,NULL,NULL
IN0000000002IS062015123111100,NIFTY15DEC11100CE,NIFTY 50,IN0000000002,IS        ,6,NULL,11100,0.05,75,00:00.0,1,21:19.3,43988,43988,12/31/2015,1,00:00.0,,3014979,0,NSE_SecurityMaster_Upload,1,1,NULL,IN0000000002IS04,NULL,NULL,NULL
IN0000000002IS062015123111200,NIFTY15DEC11200CE,NIFTY 50,IN0000000002,IS        ,6,NULL,11200,0.05,75,00:00.0,1,21:19.3,51379,51379,12/31/2015,1,00:00.0,,3014980,0,NSE_SecurityMaster_Upload,1,1,NULL,IN0000000002IS04,NULL,NULL,NULL
IN0000000002IS062015123111300,NIFTY15DEC11300CE,NIFTY 50,IN0000000002,IS        ,6,NULL,11300,0.05,75,00:00.0,1,21:19.3,64928,64928,12/31/2015,1,00:00.0,,3014981,0,NSE_SecurityMaster_Upload,1,1,NULL,IN0000000002IS04,NULL,NULL,NULL
IN0000000002IS062015123111400,NIFTY15DEC11400CE,NIFTY 50,IN0000000002,IS        ,6,NULL,11400,0.05,75,00:00.0,1,21:19.3,66621,66621,12/31/2015,1,00:00.0,,3014982,0,NSE_SecurityMaster_Upload,1,1,NULL,IN0000000002IS04,NULL,NULL,NULL
IN0000000002IS06201512312700,NIFTY15DEC2700CE,NIFTY 50,IN0000000002,IS        ,6,NULL,2700,0.05,75,00:00.0,1,21:19.3,47301,47301,12/31/2015,1,00:00.0,,3014983,0,NSE_SecurityMaster_Upload,1,1,NULL,IN0000000002IS04,NULL,NULL,NULL
IN0000000002IS06201512312800,NIFTY15DEC2800CE,NIFTY 50,IN0000000002,IS        ,6,NULL,2800,0.05,75,00:00.0,1,21:19.3,35516,35516,12/31/2015,1,00:00.0,,3014984,0,NSE_SecurityMaster_Upload,1,1,NULL,IN0000000002IS04,NULL,NULL,NULL
IN0000000002IS06201512312900,NIFTY15DEC2900CE,NIFTY 50,IN0000000002,IS        ,6,NULL,2900,0.05,75,00:00.0,1,21:19.3,35118,35118,12/31/2015,1,00:00.0,,3014985,0,NSE_SecurityMaster_Upload,1,1,NULL,IN0000000002IS04,NULL,NULL,NULL
